,Date,Description,InternationTransactionAmount,Category,Amount,TransactionUserName,TransactionType,IsoCurrency,Locality,City,State,Country
0,2019-12-12,THE ROOM               GURGAON,0,VIDEO GAME,127.0,0,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
1,2019-12-12,CUT AND STYLEGURGAON,0,OCCUPATION,499.0,1,DOMESTIC,INR,SECTOR 4,GURUGRAM,HARYANA,INDIA
2,2019-12-12,MUMUSOGURGAON,0,CAFE COMPANY,388.0,1,DOMESTIC,INR,SECTOR 49,GURUGRAM,HARYANA,INDIA
3,2019-12-12,THE ROOM               GURGAON,0,VIDEO GAME,108.0,0,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
4,2019-12-12,THE ROOM               GURGAON,0,VIDEO GAME,50.0,0,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
5,2019-12-13,JAIPUR SPACEJAIPUR,0,CITY IN INDIA,360.0,1,DOMESTIC,INR,SECTOR 9,JAIPUR,RAJASTHAN,INDIA
6,2019-12-13,CAFE COFFEE DAYHIGHWAY KI,0,CAFE COMPANY,286.0,1,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
7,2019-12-14,CAFE COFFEE DAYALANKAR PL,0,CAFE COMPANY,786.0,1,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
8,2019-12-15,LIFE STYLE INTERNATIONAJAIPUR,0,CAFE COMPANY,1698.0,0,DOMESTIC,INR,DURGADAS COLONY,JAIPUR,RAJASTHAN,INDIA
9,2019-12-15,NEW U 47                 JAIPUR,0,NEW YORK CITY BOROUGH,1890.0,0,DOMESTIC,INR,JAIPUR,JAIPUR,RAJASTHAN,INDIA
10,2019-12-15,COCONUT RESTAURANTJAIPUR,0,PLANTS,715.0,1,DOMESTIC,INR,SUBASH NAGAR,JAIPUR,RAJASTHAN,INDIA
11,2019-12-15,CAFE COFFEE DAYALANKAR PL,0,CAFE COMPANY,591.0,1,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
12,2019-12-16,UCBJAIPUR,0,CAFE COMPANY,325.0,1,DOMESTIC,INR,BAPU NAGAR,JAIPUR,RAJASTHAN,INDIA
13,2019-12-16,HILTON GARDEN INN GURGGURGAON,0,HOTEL BRAND,554.33,1,DOMESTIC,INR,SECTOR 50,GURUGRAM,HARYANA,INDIA
14,2019-12-16,CAFE COFFEE DAYHIGHWAY KI,0,CAFE COMPANY,236.0,1,DOMESTIC,INR,CENTRAL PARK II,GURUGRAM,HARYANA,INDIA
15,2019-12-16,UCBJAIPUR,0,CAFE COMPANY,11690.0,1,DOMESTIC,INR,BAPU NAGAR,JAIPUR,RAJASTHAN,INDIA
